,Comp,A1,A2,yA2,TotEng,DHmix,DHmix_in_meV
1589,Ma5Ea3-Pb8I24,Ma,Ea,0.4151856122675568,-57.22142129375,1.914830023133593,1914.8300231335932
1590,Ma5Ea3-Pb8I24,Ma,Ea,0.4151856122675568,-57.1860288325,1.9502224843835911,1950.222484383591
1591,Ma5Ea3-Pb8I24,Ma,Ea,0.4151856122675568,-57.23104569625,1.9052056206335912,1905.2056206335913
1592,Ma7Ea1-Pb8I24,Ma,Ea,0.166572702704047,-53.06335387125,2.4476908715219743,2447.6908715219743
1593,Ma7Ea1-Pb8I24,Ma,Ea,0.166572702704047,-53.0662533375,2.4447914052719746,2444.791405271975
1594,Ma6Ea2-Pb8I24,Ma,Ea,0.2527277536860386,-55.115375555,1.6519589667749912,1651.9589667749913
1595,Ma7Ea1-Pb8I24,Ma,Ea,0.166572702704047,-53.044394975,2.4666497677719725,2466.6497677719726
1596,Ma0Ea8-Pb8I24,Ma,Ea,0.9839167291631743,-67.5807798875,-0.15144440418399086,-151.44440418399086
1597,Ma8Ea0-Pb8I24,Ma,Ea,0.014691671432250475,-50.9992979425,2.297058455985833,2297.058455985833
1598,Ma8Ea0-Pb8I24,Ma,Ea,0.04872101976612031,-50.995447,2.7971162025060647,2797.116202506065
1599,Ma8Ea0-Pb8I24,Ma,Ea,0.014691671432250475,-50.99436292375,2.3019934747358297,2301.9934747358297
1600,Ma1Ea7-Pb8I24,Ma,Ea,0.8342003282244274,-65.48299966,-0.23678846370670215,-236.78846370670215
1601,Ma1Ea7-Pb8I24,Ma,Ea,0.8789489287942275,-65.5157880775,0.3829351755998047,382.9351755998047
1602,Ma4Ea4-Pb8I24,Ma,Ea,0.5287154204296708,-59.255544345,1.536168096688101,1536.168096688101
1603,Ma4Ea4-Pb8I24,Ma,Ea,0.5287154204296708,-59.30189844625,1.489813995438098,1489.8139954380981
1604,Ma4Ea4-Pb8I24,Ma,Ea,0.5287154204296708,-59.28940991875,1.5023025229380949,1502.3025229380949
1605,Ma3Ea5-Pb8I24,Ma,Ea,0.6524163439357595,-61.318905075,1.2765809595609667,1276.5809595609667
1606,Ma3Ea5-Pb8I24,Ma,Ea,0.6524163439357595,-61.344338505,1.25114752956096,1251.14752956096
1607,Ma2Ea6-Pb8I24,Ma,Ea,0.7987826416153886,-63.45761750875,1.2721425082367332,1272.1425082367332
1608,Ma2Ea6-Pb8I24,Ma,Ea,0.7522787939243251,-63.46781411125,0.5838393075431227,583.8393075431227
