,Comp,SuperCell,A1,A2,numA1,numA2,numAllCat,yA2,TotEng,Converged,lambda,sigma,tilt
104,Ma6Ea2-Pb8I24,2x2x2,Ma,Ea,6,2,8,0.30864813616971154,-55.14216716,True,1.000049160027325,0.1650899124404322,3.182716557480684e-07
105,Ma6Ea2-Pb8I24,2x2x2,Ma,Ea,6,2,8,0.30864813616971154,-55.15359602375,True,1.000224516172695,,2.1176335965757795
106,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.5793002694950448,-61.3573466025,True,1.000004041739896,,3.7395405282214993
107,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.4522491128098143,-59.250734175,True,1.0001826750964637,,1.8512878072058687
108,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.4522491128098143,-59.28253382,True,1.0001724953462077,0.6161980331753224,2.84591215417198e-07
109,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.6197269034447835,-61.30424162625,True,1.000141245073477,0.41142163688054817,5.256075814949503e-07
110,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.42702788377279044,-57.2194127,True,1.0003607028540018,1.2997833268870211,2.84591215417198e-07
111,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.4522491128098143,-59.32818363125,True,1.0005387976624398,1.9026028940334423,7.250304221790707e-07
112,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.37651240036715106,-57.22064705,True,1.0000437610130235,0.1454205624493704,2.84591215417198e-07
113,Ma6Ea2-Pb8I24,2x2x2,Ma,Ea,6,2,8,0.22575274613317142,-55.11570434,True,1.000254541713717,,3.707283319039523
114,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.37651240036715106,-57.21799413875,True,1.000293469056385,106.19719258679845,2.102991535866703
115,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.37651240036715106,-57.2171509725,True,1.0001640661604707,0.5815356388713718,4.567449693243174e-07
116,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.37651240036715106,-57.2194157125,True,1.0001282130837723,0.41648868767479535,1.8972747694479865e-07
117,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.16472168708058232,-53.06253286625,True,1.0000004629889465,0.001298463364795053,4.234813681326434e-07
118,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.5530493112125843,-59.27601042125,True,1.0000700618725447,0.25042993927879453,3.6969483336777454e-07
119,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.6220160012425563,-61.31225678375,True,1.0000313992657826,0.08629575940506494,3.7889644834363514e-07
120,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.5988840096482019,-61.3874173925,True,1.000225943920738,0.7419148001894272,0.0
121,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9873955617858649,-67.57125559625,True,1.000216491827326,,1.8370486057737967
122,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.007433891086065292,-51.0090414075,True,1.0000007638927402,0.0008846196724757371,2.1344341156289847e-07
123,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.007433891086065292,-51.001797625,True,1.0000033079895472,0.010424197898987318,2.84591215417198e-07
124,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.18538787094180031,-53.06094001375,True,1.0000008586316267,0.0024237811668544264,2.84591215417198e-07
125,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.007433891086065292,-51.0043089775,True,1.000003436010049,,7.484991957605948
126,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7702650182785197,-63.40969663,True,1.0003665003792022,1.2326160439747618,4.0247275657524445e-07
127,Ma6Ea2-Pb8I24,2x2x2,Ma,Ea,6,2,8,0.20863031418398703,-55.1614013925,True,1.0000421706866742,0.15113155957015628,4.590063115221955e-07
128,Ma6Ea2-Pb8I24,2x2x2,Ma,Ea,6,2,8,0.20863031418398703,-55.12859073,True,1.0000225860030012,0.06543461318835356,3.7300237128573284e-07
129,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.5835963772347819,-61.35545870375,True,1.0006407223519802,,7.309569648614217
130,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.982820132863281,-67.54118622875,True,1.0004328539804366,1.4535798362314454,0.0
131,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.982820132863281,-67.5661581,True,1.0004509565449553,1.624294072881001,0.0
132,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.005718168614918473,-50.999694215,True,1.000005610962214,0.017784527691663467,2.84591215417198e-07
133,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.005718168614918473,-51.00324388375,True,1.0000057353800118,0.01922657358748224,4.0247275657524445e-07
134,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.005718168614918473,-50.99660895375,True,1.0000039725673353,,3.025481572643108
135,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.5679451298249201,-61.34273899375,True,1.0000027270503924,,2.995026218890508
136,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.5934431936339493,-61.36299080875,True,1.0002064616109454,0.7315554872750734,0.0
137,Ma6Ea2-Pb8I24,2x2x2,Ma,Ea,6,2,8,0.2632407686813132,-55.13760683625,True,1.0000448693104322,,10.545340674403377
138,Ma1Ea7-Pb8I24,2x2x2,Ma,Ea,1,7,8,0.8808359794435745,-65.4641748425,True,1.00000957379897,0.030162623378021305,3.7300237128573284e-07
139,Ma1Ea7-Pb8I24,2x2x2,Ma,Ea,1,7,8,0.8808359794435745,-65.58059115125,True,1.0008693855178787,3.0536188797894184,1.6262355166697026e-07
140,Ma1Ea7-Pb8I24,2x2x2,Ma,Ea,1,7,8,0.8808359794435745,-65.448526375,True,1.0001733214563822,,11.792204491023245
141,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.5400915598091691,-59.28560630375,True,1.0004448653893405,1.5457667244505309,2.84591215417198e-07
142,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.6720794327454418,-61.38163171125,True,1.000182581546893,0.6558554069217961,0.0
143,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.3371609783429186,-57.1801389275,True,1.0001148242996798,,2.1136264603133443
144,Ma1Ea7-Pb8I24,2x2x2,Ma,Ea,1,7,8,0.9109022923918377,-65.4791946675,True,1.0000265026214172,0.08033001860688052,0.0
145,Ma1Ea7-Pb8I24,2x2x2,Ma,Ea,1,7,8,0.9109022923918377,-65.4768633825,True,1.000487086395412,,1.8351966015143244
146,Ma1Ea7-Pb8I24,2x2x2,Ma,Ea,1,7,8,0.9109022923918377,-65.54035595625,True,1.0000736887207466,,2.476178625334226
147,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9873955617858649,-67.6057337075,True,1.0002911394473275,1.0285873672082273,0.0
148,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9873955617858649,-67.5827297075,True,1.0005052079687857,,2.095665123098059
149,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9873955617858649,-67.56429103375,True,1.0001941090597746,147.88469014716102,2.967649501817175
150,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9873955617858649,-67.5704616675,True,1.0004199231216224,,2.9223983000907414
151,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9847543264076215,-67.55844833375,True,1.0003086356658042,,2.4543491046708996
152,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.3425914130564254,-57.182585415,True,1.0000557858635333,,2.128625314515063
153,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.4982302669807488,-59.27962003875,True,1.0002101720707115,92.78356515239689,1.8494011691254357
154,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.7454062928982214,-63.3923686225,True,1.0002732470632922,0.9347380486549147,4.929264444903661e-07
155,Ma4Ea4-Pb8I24,2x2x2,Ma,Ea,4,4,8,0.4982302669807488,-59.294129435,True,1.0008586398845005,2.87413703437371,0.0
